"LEVEL3_N","mean_temp","precipatation","temp_seasonality","ivs","temp_anomaly","prec_anomaly","active","passive","longitude","latitude"
"Cook Is.",24.2313137054443,1985.95080566406,160.208084106445,0,29.8623065948486,-435.905548095703,3,NA,-158.793504759943,-20.6849301347458
"Costa Rica",23.5941162109375,2880.15649414062,71.7672271728516,872891.0625,34.5893402099609,621.897094726562,157,36,-84.1867879334099,9.97024908592878
"Cuba",25.1100425720215,1332.830078125,191.064239501953,245485.671875,28.9681167602539,403.319763183594,37,12,-79.0061926783062,21.635208835687
"Czechoslovakia",7.67997598648071,682.653442382812,733.569580078125,455837.21875,97.1688995361328,-42.982105255127,1,NA,16.9509930704772,49.3686328186134
"Delaware",12.9296216964722,1130.83239746094,860.494750976562,193793.546875,142.002197265625,-318.510772705078,3,NA,-75.5118265628839,38.9960847004156
"District of Columbia",13.4243717193604,1073.25134277344,879.782470703125,175439.21875,160.700988769531,-192.522064208984,2,NA,-77.0095651306179,38.911622998719
"Dominican Republic",24.1004066467285,1373.18225097656,126.662284851074,387975.4375,34.3028221130371,643.559326171875,33,9,-70.4849514032449,18.8939016843397
"East Aegean Is.",16.7794094085693,657.592895507812,626.370056152344,121638.046875,53.2971572875977,-57.3420867919922,1,NA,26.8180038309526,37.7624799837051
"East European Russia",2.48321938514709,545.095520019531,1208.69836425781,709687.875,114.699676513672,217.797866821289,1,NA,53.8218215202427,55.9561427834306
"East Himalaya",12.3224592208862,1607.86877441406,497.155364990234,1214480.25,61.6835327148438,180.968521118164,12,6,92.8951749184384,27.8179711366569
"Ecuador",20.7777194976807,2029.61706542969,53.5842018127441,913031.5625,39.279842376709,194.998107910156,215,47,-78.3926172329785,-1.45227134063456
"El Salvador",24.4878787994385,1820.9599609375,86.5561141967773,292036.3125,28.9882946014404,494.383972167969,66,13,-88.864903788508,13.7365557203165
"Equatorial Guinea",23.6398391723633,2192.87939453125,82.2013778686523,1615829.625,34.6307258605957,23.7792282104492,18,5,10.4759767075855,1.56793079582259
"Ethiopia",22.6655941009521,801.61767578125,133.412445068359,118643.84375,49.5434150695801,49.5922889709473,6,4,39.6249750653251,8.61773190432172
"Fiji",23.3348941802979,1200.75671386719,237.708770751953,214214.34375,37.8644714355469,-28.1017990112305,7,1,178.544606524078,-17.4630503271759
"Florida",21.4095821380615,1365.26416015625,498.925750732422,373668.09375,54.8795700073242,56.97998046875,13,3,-82.4422604939904,28.6379339983167
"French Guiana",25.5564823150635,2704.736328125,50.8201293945312,1744399.5,33.9066925048828,65.9556732177734,133,22,-53.2412441044829,3.92369446513158
"Gabon",24.4996547698975,1845.05712890625,104.60083770752,1353458.25,35.7926177978516,151.154174804688,64,27,11.7972643124962,-0.590520969557237
