"scientific_name","match_name","match_status","accepted_plant_name_id","ipni_id","accepted_taxon_name","accepted_family_name","accepted_genus_name","accepted_taxon_authors"
"Dichapetalum pallidum","Dichapetalum pallidum","Accepted",2766006,"163248-1","Dichapetalum pallidum","Dichapetalaceae","Dichapetalum","(Oliv.) Engl."
"Dichapetalum papuanum","Dichapetalum papuanum","Accepted",2766010,"316322-1","Dichapetalum papuanum","Dichapetalaceae","Dichapetalum","(Becc.) Boerl."
"Dichapetalum rudatisii","Dichapetalum rudatisii","Accepted",2766040,"316340-1","Dichapetalum rudatisii","Dichapetalaceae","Dichapetalum","Engl."
"Dichapetalum rugosum","Dichapetalum rugosum","Accepted",2766045,"79425-2","Dichapetalum rugosum","Dichapetalaceae","Dichapetalum","(Vahl) Prance"
"Dichapetalum sessiliflorum","Dichapetalum sessiliflorum","Accepted",2766061,"316351-1","Dichapetalum sessiliflorum","Dichapetalaceae","Dichapetalum","Leenh."
"Dichapetalum spruceanum","Dichapetalum spruceanum","Accepted",2766068,"79429-2","Dichapetalum spruceanum","Dichapetalaceae","Dichapetalum","Baill."
"Dicranostyles longifolia","Dicranostyles longifolia","Accepted",485355,"79960-2","Dicranostyles longifolia","Convolvulaceae","Dicranostyles","Ducke"
"Dicranostyles scandens","Dicranostyles scandens","Accepted",485357,"79962-2","Dicranostyles scandens","Convolvulaceae","Dicranostyles","Benth."
"Dicranostyles sericea","Dicranostyles sericea","Accepted",485358,"79963-2","Dicranostyles sericea","Convolvulaceae","Dicranostyles","Gleason"
"Dictyophleba ochracea","Dictyophleba ochracea","Accepted",61484,"78222-1","Dictyophleba ochracea","Apocynaceae","Dictyophleba","(K.Schum. ex Hallier f.) Pichon"
"Dictyophleba stipulosa","Dictyophleba stipulosa","Accepted",61487,"78224-1","Dictyophleba stipulosa","Apocynaceae","Dictyophleba","(S.Moore ex Wernham) Pichon"
"Dilkea acuminata","Dilkea acuminata","Accepted",2768201,"674421-1","Dilkea acuminata","Passifloraceae","Dilkea","Mast."
"Dilkea retusa","Dilkea retusa","Accepted",2768207,"674426-1","Dilkea retusa","Passifloraceae","Dilkea","Mast."
"Dioclea dictyoneura","Dioclea dictyoneura","Synonym",3245282,"77212309-1","Macropsychanthus dictyoneurus","Fabaceae","Macropsychanthus","(Diels) L.P.Queiroz & Snak"
"Dioclea megacarpa","Dioclea megacarpa","Synonym",3245245,"77212324-1","Macropsychanthus megacarpus","Fabaceae","Macropsychanthus","(Rolfe) L.P.Queiroz & Snak"
"Dioclea schimpffii","Dioclea schimpffii","Synonym",3245235,"77212329-1","Macropsychanthus schimpffii","Fabaceae","Macropsychanthus","(Diels) L.P.Queiroz & Snak"
"Diplopterys cabrerana","Diplopterys cabrerana","Accepted",2771181,"81736-2","Diplopterys cabrerana","Malpighiaceae","Diplopterys","(Cuatrec.) B.Gates"
"Diplopterys lutea","Diplopterys lutea","Accepted",2604190,"60444587-2","Diplopterys lutea","Malpighiaceae","Diplopterys","(Ruiz ex Griseb.) W.R.Anderson & C.Davis"
"Dipteropeltis poranoides","Dipteropeltis poranoides","Accepted",485376,"267793-1","Dipteropeltis poranoides","Convolvulaceae","Dipteropeltis","Hallier f."
"Disciphania inversa","Disciphania inversa","Accepted",2772722,"82149-2","Disciphania inversa","Menispermaceae","Disciphania","Barneby"
"Disciphania juliflora","Disciphania juliflora","Accepted",2772723,"82150-2","Disciphania juliflora","Menispermaceae","Disciphania","Barneby"
"Dolichandra chodatii","Dolichandra chodatii","Accepted",320924,"77141983-1","Dolichandra chodatii","Bignoniaceae","Dolichandra","(Hassl.) L.G.Lohmann"
"Dolichandra quadrivalvis","Dolichandra quadrivalvis","Accepted",320926,"77100464-1","Dolichandra quadrivalvis","Bignoniaceae","Dolichandra","(Jacq.) L.G.Lohmann"
"Dolichandra steyermarkii","Dolichandra steyermarkii","Accepted",320927,"77100465-1","Dolichandra steyermarkii","Bignoniaceae","Dolichandra","(Sandwith) L.G.Lohmann"
"Dolichandra uncata","Dolichandra uncata","Accepted",320928,"77100511-1","Dolichandra uncata","Bignoniaceae","Dolichandra","(Andrews) L.G.Lohmann"
"Dolichandra unguiculata","Dolichandra unguiculata","Accepted",320929,"77141985-1","Dolichandra unguiculata","Bignoniaceae","Dolichandra","(Vell.) L.G.Lohmann"
"Dolichandra unguis-cati","Dolichandra unguis-cati","Accepted",320930,"77100466-1","Dolichandra unguis-cati","Bignoniaceae","Dolichandra","(L.) L.G.Lohmann"
"Doliocarpus amazonicus","Doliocarpus amazonicus","Accepted",2774680,"82900-2","Doliocarpus amazonicus","Dilleniaceae","Doliocarpus","Sleumer"
"Doliocarpus dentatus","Doliocarpus dentatus","Accepted",2774704,"82916-2","Doliocarpus dentatus","Dilleniaceae","Doliocarpus","(Aubl.) Standl."
"Doliocarpus macrocarpus","Doliocarpus macrocarpus","Accepted",2774737,"316807-1","Doliocarpus macrocarpus","Dilleniaceae","Doliocarpus","Mart. ex Eichler"
"Doliocarpus magnificus","Doliocarpus magnificus","Accepted",2774738,"82929-2","Doliocarpus magnificus","Dilleniaceae","Doliocarpus","Sleumer"
"Doliocarpus major","Doliocarpus major","Accepted",2774739,"30327947-2","Doliocarpus major","Dilleniaceae","Doliocarpus","J.F.Gmel."
"Doliocarpus multiflorus","Doliocarpus multiflorus","Accepted",2774741,"82931-2","Doliocarpus multiflorus","Dilleniaceae","Doliocarpus","Standl."
"Doliocarpus olivaceus","Doliocarpus olivaceus","Accepted",2774746,"316817-1","Doliocarpus olivaceus","Dilleniaceae","Doliocarpus","Sprague & R.O.Williams ex G.E.Hunter"
"Duparquetia orchidacea","Duparquetia orchidacea","Accepted",2779362,"380758-1","Duparquetia orchidacea","Fabaceae","Duparquetia","Baill."
"Elachyptera bipindensis","Elachyptera bipindensis","Accepted",2784967,"430980-1","Elachyptera bipindensis","Celastraceae","Elachyptera","(Loes. ex Fritsch) R.Wilczek"
"Elachyptera micrantha","Elachyptera micrantha","Accepted",2784972,"88948-2","Elachyptera micrantha","Celastraceae","Elachyptera","(Cambess.) A.C.Sm."
"Embelia ribes","Embelia ribes","Accepted",2788183,"588451-1","Embelia ribes","Primulaceae","Embelia","Burm.f."
"Enkleia malaccensis","Enkleia malaccensis","Accepted",2789360,"831634-1","Enkleia malaccensis","Thymelaeaceae","Enkleia","Griff."
"Entada gigas","Entada gigas","Accepted",2789451,"1078643-2","Entada gigas","Fabaceae","Entada","(L.) Fawc. & Rendle"
"Erycibe borneensis","Erycibe borneensis","Accepted",485882,"267849-1","Erycibe borneensis","Convolvulaceae","Erycibe","(Merr.) Hoogland"
"Erycibe glomerata","Erycibe glomerata","Accepted",485909,"267878-1","Erycibe glomerata","Convolvulaceae","Erycibe","Blume"
"Erycibe henryi","Erycibe henryi","Accepted",485918,"267885-1","Erycibe henryi","Convolvulaceae","Erycibe","Prain"
"Erycibe subspicata","Erycibe subspicata","Accepted",485970,"267937-1","Erycibe subspicata","Convolvulaceae","Erycibe","Wall. ex G.Don"
